
 Boone Jenner	136	152	13%	16	22	38	42	1	2	3	170	626	158	70	
 Bryan Little	352	247	3%	15	26	41	26	4	3	7	126	526	62	29	
 Bo Horvat	127	41	23%	27	34	61	33	7	11	18	227	1083	62	63	
 Mikko Koivu	343	355	2%	8	21	29	22	2	10	12	89	488	13	32	
 Nino Niederreiter	153	131	24%	23	30	53	30	6	9	15	184	37	94	20	
 Tomas Tatar	216	166	12%	25	33	58	34	4	4	8	195	10	77	30	
 Tyler Johnson	238	225	11%	29	18	47	28	1	7	8	163	230	50	32	
 Ryan Donato	225	485	5%	10	15	25	6	3	5	8	139	11	24	21	
 Travis Konecny	193	185	12%	24	25	49	40	4	4	8	182	7	65	45	
 Josh Anderson	160	97	16%	27	20	47	60	3	4	7	230	12	214	40	
 David Perron	199	207	9%	23	23	46	46	7	7	14	112	15	52	13	
 Elias Lindholm	75	37	77%	27	51	78	20	9	17	26	182	509	82	39	
 P.K. Subban	74	216	94%	9	22	31	60	2	8	10	168	0	56	75	
 Darnell Nurse	233	74	39%	10	31	41	87	1	8	9	196	0	162	146	
 Ryan Suter	185	132	58%	7	40	47	41	3	12	15	136	1	78	109	
 Jeff Petry	195	109	44%	13	33	46	28	3	8	11	172	0	190	123	
 Nikita Zadorov	206	304	11%	7	7	14	75	0	0	0	100	0	228	67	
 Ben Chiarot	290	261	3%	5	15	20	62	0	0	0	111	0	171	139	
 Esa Lindell	262	175	32%	11	21	32	33	4	3	7	132	0	143	161	
 Alexander Edler	205	100	35%	10	24	34	54	4	13	17	128	0	127	166	
 Jonathan Toews	111	21	36%	35	46	81	40	9	14	23	235	1059	42	44	
 Matt Duchene	134	99	36%	31	39	70	8	6	8	14	172	676	28	40	
 Jonathan Huberdeau	67	15	83%	30	62	92	40	11	23	34	226	12	57	45	
 Seth Jones	56	136	94%	9	37	46	28	0	10	10	184	0	106	133	
 Patrik Laine	29	64	75%	30	20	50	42	15	8	23	245	11	70	44	
 Alex DeBrincat	37	53	92%	41	35	76	15	13	11	24	220	16	35	26	

